AXVISOR_RT_HOST_TRACE schema=1 vm=1 counter_frequency_hz=24000000 start_ticks=1931969768 end_ticks=2055328787 records=1094 dropped=0 incomplete=0 failed_injections=0 unowned_virtual_timer_irqs=0 counter_frequency_mismatches=0
AXVISOR_RT_HOST_IRQ schema=1 sequence=91 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1967312516 guest_counter_ticks=35462371 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=92 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1967512338 guest_counter_ticks=35662193 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=93 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1967552217 guest_counter_ticks=35702072 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=94 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1967752319 guest_counter_ticks=35902174 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=95 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1967792212 guest_counter_ticks=35942067 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=96 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1967993077 guest_counter_ticks=36142932 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=97 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1967995583 guest_counter_ticks=36145438 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=98 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1968032718 guest_counter_ticks=36182573 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=99 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1968232400 guest_counter_ticks=36382255 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=100 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1968272566 guest_counter_ticks=36422421 forwarding_ticks=14 injected=1
